,ID,Smiles,pIC50
0,0,FC(F)Oc1c(CNC[C@@H](O)CC(=O)O)ccc(-c2c(C)c(-c3c(C)c(-c4nc(OC)c(C5=NCCN5)cc4)ccc3)ccc2)c1,10.19382
1,1,Clc1c(-c2c(Cl)c(-c3cc(/C=C/c4ccc(OC)cc4)c(CNCC4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNCC2NC(=O)CC2)cc1,8.1977053
2,2,Clc1c(-c2c(Cl)c(-c3cc(CCc4ccccc4)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,7.9801779
3,3,Clc1c(-c2c(O)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.2254829
4,4,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cc(C)cc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.3496923
5,5,Clc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)cc(F)c2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.431798
6,6,Clc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,10.0
7,7,Clc1c(-c2c(C)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.440093
8,8,Clc1c(-c2c(Cl)c(-c3cc(OC(F)F)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.5800438
9,9,Clc1c(-c2c(Cl)c(-c3cc(OC(F)F)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.0936651
10,10,Clc1c(-c2c(Cl)c(-c3ccc(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,9.8356476
11,11,Clc1c(-c2c(Cl)c(-c3nc(OCCCC#N)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OCCCC#N)c(C2=NCCN2)cc1,10.19382
12,12,Clc1c(-c2c(Cl)c(-c3cc(OC)c(NC4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.4078236
