,Name,StandardSmiles
21,Pyridoxal phosphate,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
23,Tetrahydrofolic acid,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
24,Histidine,NC(Cc1c[nH]cn1)C(=O)O
25,Ademetionine,C[S+](CCC(N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
26,Pyruvic acid,CC(=O)C(=O)O
27,Phenylalanine,NC(Cc1ccccc1)C(=O)O
28,Biotin,O=C(O)CCCCC1SCC2NC(=O)NC21
29,Choline,C[N+](C)(C)CCO
30,Lysine,NCCCCC(N)C(=O)O
31,Arginine,N=C(N)NCCCC(N)C(=O)O
32,Ascorbic acid,OCC(O)c1oc(O)c(O)c1O
33,Spermine,NCCCNCCCCNCCCN
34,Aspartic acid,NC(CC(=O)O)C(=O)O
35,Ornithine,NCCCC(N)C(=O)O
36,L-Glutamine,NC(=O)CCC(N)C(=O)O
37,Adenosine phosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
38,alpha-Linolenic acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
39,Serine,NC(CO)C(=O)O
40,Methionine,CSCCC(N)C(=O)O
41,Tyrosine,NC(Cc1ccc(O)cc1)C(=O)O
42,Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
44,Cystine,NC(CSSCC(N)C(=O)O)C(=O)O
45,Succinic acid,O=C(O)CCC(=O)O
46,Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
47,N-Acetylglucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
48,Glutamic acid,NC(CCC(=O)O)C(=O)O
49,Glutathione,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
51,Glycine,NCC(=O)O
52,Calcifediol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
53,Pyridoxal,Cc1ncc(CO)c(C=O)c1O
54,Creatine,CN(CC(=O)O)C(=N)N
55,Leucine,CC(C)CC(N)C(=O)O
56,Tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O
57,Cysteine,NC(CS)C(=O)O
58,Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
59,Ergocalciferol,C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
