,Name,StandardSmiles,Molecules,tanimoto_avalon
83,Ramipril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCC[C@@H]21,<rdkit.Chem.rdchem.Mol object at 0x7f615f85c040>,0.370253164556962
111,Reserpine,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f85ca50>,0.3397312859884837
114,Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85cb30>,0.33986928104575165
123,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,<rdkit.Chem.rdchem.Mol object at 0x7f615f85cf20>,0.34615384615384615
125,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2CC1C(=O)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f615f85d040>,0.38439306358381503
129,Indinavir,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f615f85d190>,0.3869047619047619
136,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7f615f85d430>,0.3507692307692308
148,Ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85d970>,0.34108527131782945
150,Benzatropine,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f85da50>,0.3254901960784314
159,Doxycycline,CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21,<rdkit.Chem.rdchem.Mol object at 0x7f615f85dd60>,0.35872235872235875
161,Lymecycline,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f85de40>,0.3686635944700461
166,Anagrelide,Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f85e0b0>,0.32054176072234764
183,Argatroban,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85e740>,0.35732647814910024
198,Raltitrexed,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85ecf0>,0.32235294117647056
200,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f85edd0>,0.351409978308026
208,Ertapenem,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CNC(C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f85f120>,0.32532751091703055
222,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85f6d0>,0.35587188612099646
223,Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,<rdkit.Chem.rdchem.Mol object at 0x7f615f85f740>,0.3568281938325991
232,Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@H]3[C@H]1C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f85f9e0>,0.3663594470046083
233,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f85fa50>,0.3316062176165803
236,Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f85fba0>,0.35294117647058826
247,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f860040>,0.33641975308641975
250,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f860190>,0.3235294117647059
262,Mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,<rdkit.Chem.rdchem.Mol object at 0x7f615f8606d0>,0.3230240549828179
269,Grepafloxacin,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,<rdkit.Chem.rdchem.Mol object at 0x7f615f860890>,0.32186732186732187
278,Treprostinil,CCCCC[C@@H](O)CC[C@H]1[C@@H]2Cc3cccc(OCC(=O)O)c3C[C@@H]2C[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f615f860c10>,0.35034013605442177
281,Palonosetron,O=C1c2cccc3c2[C@@H](CCC3)CN1[C@@H]1CN2CCC1CC2,<rdkit.Chem.rdchem.Mol object at 0x7f615f860d60>,0.35443037974683544
303,Griseofulvin,COc1cc(OC)c2c(c1Cl)O[C@]1(C2=O)C(OC)CC(=O)C[C@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7f615f861660>,0.3477157360406091
311,Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f615f861890>,0.3215434083601286
312,Remoxipride,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f861900>,0.3448275862068966
327,Hyoscyamine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f861f20>,0.3418181818181818
350,Loracarbef,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f81f7b0>,0.3342541436464088
356,Clomocycline,CN(C)C1C(=O)C(C(=O)NCO)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f81f9e0>,0.3684210526315789
360,Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f81fba0>,0.32386363636363635
367,Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81feb0>,0.35324675324675325
370,Quinine,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x7f615f821040>,0.38311688311688313
382,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f8214a0>,0.3471337579617834
398,Darifenacin,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f8219e0>,0.35737704918032787
399,Oxycodone,COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,<rdkit.Chem.rdchem.Mol object at 0x7f615f821a50>,0.3681917211328976
419,Trandolapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@H]2CCCC[C@@H]21,<rdkit.Chem.rdchem.Mol object at 0x7f615f820190>,0.40594059405940597
421,Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x7f615f820200>,0.3527272727272727
424,Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,<rdkit.Chem.rdchem.Mol object at 0x7f615f820350>,0.3387096774193548
442,Benazepril,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f8209e0>,0.4035714285714286
443,Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,<rdkit.Chem.rdchem.Mol object at 0x7f615f820a50>,0.3238095238095238
454,Piroxicam,CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f820eb0>,0.32571428571428573
461,Doxapram,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81e190>,0.3422818791946309
463,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f81e270>,0.322884012539185
472,Atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f81e510>,0.3418181818181818
484,Enalapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81e9e0>,0.3765182186234818
490,Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f81ec80>,0.4185303514376997
495,Oxytetracycline,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f81eeb0>,0.36018957345971564
501,Linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7f615f816190>,0.3424657534246575
504,Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f816270>,0.3797909407665505
507,Nafcillin,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f8163c0>,0.3456221198156682
511,Butorphanol,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,<rdkit.Chem.rdchem.Mol object at 0x7f615f816580>,0.34005037783375314
516,Candoxatril,COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,<rdkit.Chem.rdchem.Mol object at 0x7f615f8166d0>,0.33793103448275863
